stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
DXC,0.0453999347021276,-0.0665907103602828,1.018214367258487,-15.290636813296215,1.872944409039645,-0.0016663206409373,0.4441393842835237,0.5558606157164763,-0.1397453374611051,-0.0759716677513363
DXCM,0.0296738102072359,0.4894867854938063,0.6655141705059151,1.359616214837195,0.8944948330086191,0.0012727959214938,0.237131370507388,0.7628686294926119,0.6217550336745664,0.4625927062116626
EA,0.0196996020973805,0.1002198898305661,0.4418160073672589,4.4084663045848735,0.5948239301056455,-4.758264710586272e-05,0.2379260113498112,0.7620739886501887,0.0554979661707548,0.0412220971442947
EBAY,0.0225058622611492,0.291705850412456,0.5047538603787636,1.73035220125023,0.665036297248882,0.000659721837404,0.227865908234537,0.7721340917654629,0.4279429388620561,0.3248030991782368
ECL,0.0233468292514374,0.0875632977732789,0.5236147833628974,5.97984311553288,1.116314880267785,-0.0004881913361924,0.596619689339704,0.403380310660296,0.0226565371151045,0.0106271966655439
ED,0.0199567548968393,-0.0339865881962619,0.4475833433052413,-13.169410848790918,0.6311884324874912,-0.0006073702231089,0.2610466855557737,0.7389533144442263,-0.2450640530683427,-0.1737778808207732
EFX,0.0226000323763031,0.358934866876524,0.5068658758440985,1.4121388659031104,0.9069243330962444,0.0007454281241376,0.4202463538950824,0.5797536461049175,0.5587964792556704,0.3123026437162169
EIX,0.0221992790011015,-0.0538573506409049,0.4978779148032978,-9.2443818509178,0.9487997886352684,-0.0009239838752776,0.4767068447420611,0.523293155257939,-0.2602191155478158,-0.1365486714823759
EL,0.0218801036994817,0.2849295441411477,0.4907195591819601,1.722248777890399,1.0081163892402785,0.0003760046129919,0.5539908179720601,0.4460091820279399,0.426372946067073,0.2075450279097477
EMN,0.0262733903528817,0.1993092466053327,0.5892507050817625,2.9564644647349563,1.154242223802534,-7.314714918712768e-05,0.5036648534796339,0.4963351465203661,0.2097736083119003,0.1070912535135949
EMR,0.0263142341441919,0.0873839901789587,0.5901667358073182,6.753716952026124,1.2134778079469204,-0.0005616382951909,0.5549606311365841,0.4450393688634159,0.0197977782718906,0.0096285157441213
ENPH,0.0542665036708557,0.9664149714971983,1.217070774684644,1.259366639156182,1.642221416533138,0.0026056257143169,0.2389899885497952,0.7610100114502047,0.7318514173738105,0.5423842135596852
EOG,0.0398267561325636,0.0207078393010945,0.8932210048658032,43.134437730477806,1.377538637306449,-0.0009490408714872,0.3122034343416541,0.6877965656583459,-0.0615661302178708,-0.039920594028806
EQIX,0.0212598645198503,0.1731475851984448,0.4768090448171077,2.75377242062392,0.8313717029339119,6.473512465567555e-05,0.399070348143862,0.600929651856138,0.2043744477117109,0.1172130165779664
EQR,0.0245534832980726,0.0450922970911533,0.5506772118587906,12.212223536663158,1.0210367153531912,-0.0005854025511797,0.4512699986165072,0.5487300013834928,-0.0555819312107204,-0.0299770835353937
ES,0.0220550580068501,0.0296519008838737,0.4946433751641884,16.681675050155114,0.8464172761618692,-0.0005159551945403,0.3843550553815713,0.6156449446184287,-0.0930935324886164,-0.0544035435157162
ESS,0.0248259549926944,0.067226446378951,0.5567881147919221,8.282277954323872,1.045731764766286,-0.000516055149634,0.4630294785528174,0.5369705214471825,-0.0152186323593053,-0.0081029896064625
